"term","estimate","conf_low","conf_high","genre","model"
"genre_Action",-0.0297169509029384,-0.0555715141710083,-0.00386238763486845,"Action","With genre_count"
"genre_Adventure",-0.0287914213930781,-0.0599489742537226,0.00236613146756631,"Adventure","With genre_count"
"genre_Animation",0.134301103151474,0.0839235589077952,0.184678647395154,"Animation","With genre_count"
"genre_Biography",0.171615347241406,0.129878099019016,0.213352595463796,"Biography","With genre_count"
"genre_Comedy",0.273334949169971,0.254648395830812,0.292021502509131,"Comedy","With genre_count"
"genre_Crime",0.0229238089418544,-0.00619210609060842,0.0520397239743172,"Crime","With genre_count"
"genre_Documentary",-0.767941555604063,-0.788028151791043,-0.747854959417083,"Documentary","With genre_count"
"genre_Family",-0.401007762481911,-0.437840317090347,-0.364175207873476,"Family","With genre_count"
"genre_Fantasy",-0.0718259448720579,-0.112248982385696,-0.0314029073584194,"Fantasy","With genre_count"
"genre_Film.Noir",NA,NA,NA,"Film.Noir","With genre_count"
"genre_Game.Show",NA,NA,NA,"Game.Show","With genre_count"
"genre_History",-0.2375122891441,-0.28096841167596,-0.19405616661224,"History","With genre_count"
"genre_Horror",0.317524925017153,0.290610159211962,0.344439690822343,"Horror","With genre_count"
"genre_Music",-0.257109972346319,-0.300965806317775,-0.213254138374864,"Music","With genre_count"
"genre_Musical",-0.786535090905635,-0.833440051104203,-0.739630130707067,"Musical","With genre_count"
"genre_Mystery",0.0989406509128893,0.0615905641442751,0.136290737681504,"Mystery","With genre_count"
"genre_News",NA,NA,NA,"News","With genre_count"
"genre_Reality.TV",NA,NA,NA,"Reality.TV","With genre_count"
"genre_Romance",-0.03465871815853,-0.0616529024451535,-0.00766453387190639,"Romance","With genre_count"
"genre_Sci.Fi",0.385070198044762,0.340834906616878,0.429305489472645,"Sci.Fi","With genre_count"
"genre_Short",NA,NA,NA,"Short","With genre_count"
"genre_Sport",0.154660178957905,0.0950678873893072,0.214252470526503,"Sport","With genre_count"
"genre_Talk.Show",NA,NA,NA,"Talk.Show","With genre_count"
"genre_Thriller",0.246847578104337,0.219776368155411,0.273918788053263,"Thriller","With genre_count"
"genre_War",-0.176272176222324,-0.225353829330334,-0.127190523114314,"War","With genre_count"
"genre_Western",-0.297022230915055,-0.353272376967526,-0.240772084862583,"Western","With genre_count"
